"fips","location"
"53061","47.78125_-122.34375"
"53061","47.78125_-122.28125"
"53061","47.78125_-122.21875"
"53061","47.78125_-122.15625"
"53061","47.78125_-122.09375"
"53061","47.78125_-122.03125"
"53061","47.78125_-121.96875"
"53061","47.78125_-121.90625"
"53061","47.78125_-121.84375"
"53061","47.78125_-121.78125"
"53061","47.78125_-121.71875"
"53061","47.78125_-121.65625"
"53061","47.78125_-121.59375"
"53061","47.78125_-121.53125"
"53061","47.78125_-121.46875"
"53061","47.78125_-121.40625"
"53061","47.78125_-121.34375"
"53061","47.78125_-121.28125"
"53061","47.78125_-121.21875"
"53061","47.84375_-122.34375"
"53061","47.84375_-122.28125"
"53061","47.84375_-122.21875"
"53061","47.84375_-122.15625"
"53061","47.84375_-122.09375"
"53061","47.84375_-122.03125"
"53061","47.84375_-121.96875"
"53061","47.84375_-121.90625"
"53061","47.84375_-121.84375"
"53061","47.84375_-121.78125"
"53061","47.84375_-121.71875"
"53061","47.84375_-121.65625"
"53061","47.84375_-121.59375"
"53061","47.84375_-121.53125"
"53061","47.84375_-121.46875"
"53061","47.84375_-121.40625"
"53061","47.84375_-121.34375"
"53061","47.84375_-121.28125"
"53061","47.84375_-121.21875"
"53061","47.84375_-121.15625"
"53061","47.90625_-122.28125"
"53061","47.90625_-122.21875"
"53061","47.90625_-122.15625"
"53061","47.90625_-122.09375"
"53061","47.90625_-122.03125"
"53061","47.90625_-121.96875"
"53061","47.90625_-121.90625"
"53061","47.90625_-121.84375"
"53061","47.90625_-121.78125"
"53061","47.90625_-121.71875"
"53061","47.90625_-121.65625"
"53061","47.90625_-121.59375"
"53061","47.90625_-121.53125"
"53061","47.90625_-121.46875"
"53061","47.90625_-121.40625"
"53061","47.90625_-121.34375"
"53061","47.90625_-121.28125"
"53061","47.90625_-121.21875"
"53061","47.96875_-122.21875"
"53061","47.96875_-122.15625"
"53061","47.96875_-122.09375"
"53061","47.96875_-122.03125"
"53061","47.96875_-121.96875"
"53061","47.96875_-121.90625"
"53061","47.96875_-121.84375"
"53061","47.96875_-121.78125"
"53061","47.96875_-121.71875"
"53061","47.96875_-121.65625"
"53061","47.96875_-121.59375"
"53061","47.96875_-121.53125"
"53061","47.96875_-121.46875"
"53061","47.96875_-121.40625"
"53061","47.96875_-121.34375"
"53061","47.96875_-121.28125"
"53061","47.96875_-121.21875"
"53061","47.96875_-121.15625"
"53061","48.03125_-122.21875"
"53061","48.03125_-122.15625"
"53061","48.03125_-122.09375"
"53061","48.03125_-122.03125"
"53061","48.03125_-121.96875"
"53061","48.03125_-121.90625"
"53061","48.03125_-121.84375"
"53061","48.03125_-121.78125"
"53061","48.03125_-121.71875"
"53061","48.03125_-121.65625"
"53061","48.03125_-121.59375"
"53061","48.03125_-121.53125"
"53061","48.03125_-121.46875"
"53061","48.03125_-121.40625"
"53061","48.03125_-121.34375"
"53061","48.03125_-121.28125"
"53061","48.03125_-121.21875"
"53061","48.03125_-121.15625"
"53061","48.09375_-122.28125"
"53061","48.09375_-122.21875"
"53061","48.09375_-122.15625"
"53061","48.09375_-122.09375"
"53061","48.09375_-122.03125"
"53061","48.09375_-121.96875"
"53061","48.09375_-121.90625"
"53061","48.09375_-121.84375"
"53061","48.09375_-121.78125"
"53061","48.09375_-121.71875"
"53061","48.09375_-121.65625"
"53061","48.09375_-121.59375"
"53061","48.09375_-121.53125"
"53061","48.09375_-121.46875"
"53061","48.09375_-121.40625"
"53061","48.09375_-121.34375"
"53061","48.09375_-121.28125"
"53061","48.09375_-121.21875"
"53061","48.09375_-121.15625"
"53061","48.09375_-121.09375"
"53061","48.09375_-121.03125"
"53061","48.15625_-122.34375"
"53061","48.15625_-122.28125"
"53061","48.15625_-122.21875"
"53061","48.15625_-122.15625"
"53061","48.15625_-122.09375"
"53061","48.15625_-122.03125"
"53061","48.15625_-121.96875"
"53061","48.15625_-121.90625"
"53061","48.15625_-121.84375"
"53061","48.15625_-121.78125"
"53061","48.15625_-121.71875"
"53061","48.15625_-121.65625"
"53061","48.15625_-121.59375"
"53061","48.15625_-121.53125"
"53061","48.15625_-121.46875"
"53061","48.15625_-121.40625"
"53061","48.15625_-121.34375"
"53061","48.15625_-121.28125"
"53061","48.15625_-121.21875"
"53061","48.15625_-121.15625"
"53061","48.15625_-121.09375"
"53061","48.15625_-121.03125"
"53061","48.15625_-120.96875"
"53061","48.21875_-122.34375"
"53061","48.21875_-122.28125"
"53061","48.21875_-122.21875"
"53061","48.21875_-122.15625"
"53061","48.21875_-122.09375"
"53061","48.21875_-122.03125"
"53061","48.21875_-121.96875"
"53061","48.21875_-121.90625"
"53061","48.21875_-121.84375"
"53061","48.21875_-121.78125"
"53061","48.21875_-121.71875"
"53061","48.21875_-121.65625"
"53061","48.21875_-121.59375"
"53061","48.21875_-121.53125"
"53061","48.21875_-121.46875"
"53061","48.21875_-121.40625"
"53061","48.21875_-121.34375"
"53061","48.21875_-121.28125"
"53061","48.21875_-121.21875"
"53061","48.21875_-121.15625"
"53061","48.21875_-121.09375"
"53061","48.21875_-121.03125"
"53061","48.21875_-120.96875"
"53061","48.28125_-122.34375"
"53061","48.28125_-122.28125"
"53061","48.28125_-122.21875"
"53061","48.28125_-122.15625"
"53061","48.28125_-122.09375"
"53061","48.28125_-122.03125"
"53061","48.28125_-121.96875"
"53061","48.28125_-121.90625"
"53061","48.28125_-121.84375"
"53061","48.28125_-121.78125"
"53061","48.28125_-121.71875"
"53061","48.28125_-121.65625"
"53061","48.28125_-121.59375"
"53061","48.28125_-121.53125"
"53061","48.28125_-121.46875"
"53061","48.28125_-121.40625"
"53061","48.28125_-121.34375"
"53061","48.28125_-121.28125"
"53061","48.28125_-121.21875"
"53061","48.28125_-121.15625"
"53061","48.28125_-121.09375"
"53061","48.28125_-121.03125"
"53057","48.34375_-122.40625"
"53057","48.34375_-122.34375"
"53057","48.34375_-122.28125"
"53057","48.34375_-122.21875"
"53057","48.34375_-122.15625"
"53057","48.34375_-122.09375"
"53057","48.34375_-122.03125"
"53057","48.34375_-121.96875"
"53057","48.34375_-121.90625"
"53057","48.34375_-121.84375"
"53057","48.34375_-121.78125"
"53057","48.34375_-121.71875"
"53057","48.34375_-121.65625"
"53057","48.34375_-121.59375"
"53057","48.34375_-121.53125"
"53057","48.34375_-121.46875"
"53057","48.34375_-121.40625"
"53057","48.34375_-121.34375"
"53057","48.34375_-121.28125"
"53057","48.34375_-121.21875"
"53057","48.34375_-121.15625"
"53057","48.34375_-121.09375"
"53057","48.40625_-122.53125"
"53057","48.40625_-122.46875"
"53057","48.40625_-122.40625"
"53057","48.40625_-122.34375"
"53057","48.40625_-122.28125"
"53057","48.40625_-122.21875"
"53057","48.40625_-122.15625"
"53057","48.40625_-122.09375"
"53057","48.40625_-122.03125"
"53057","48.40625_-121.96875"
"53057","48.40625_-121.90625"
"53057","48.40625_-121.84375"
"53057","48.40625_-121.78125"
"53057","48.40625_-121.71875"
"53057","48.40625_-121.65625"
"53057","48.40625_-121.59375"
"53057","48.40625_-121.53125"
"53057","48.40625_-121.46875"
"53057","48.40625_-121.40625"
"53057","48.40625_-121.34375"
"53057","48.40625_-121.28125"
"53057","48.40625_-121.21875"
"53057","48.40625_-121.15625"
"53057","48.40625_-121.09375"
"53055","48.46875_-123.03125"
"53055","48.46875_-122.90625"
"53055","48.46875_-122.84375"
"53057","48.46875_-122.65625"
"53057","48.46875_-122.59375"
"53057","48.46875_-122.53125"
"53057","48.46875_-122.46875"
"53057","48.46875_-122.40625"
"53057","48.46875_-122.34375"
"53057","48.46875_-122.28125"
"53057","48.46875_-122.21875"
"53057","48.46875_-122.15625"
"53057","48.46875_-122.09375"
"53057","48.46875_-122.03125"
"53057","48.46875_-121.96875"
"53057","48.46875_-121.90625"
"53057","48.46875_-121.84375"
"53057","48.46875_-121.78125"
"53057","48.46875_-121.71875"
"53057","48.46875_-121.65625"
"53057","48.46875_-121.59375"
"53057","48.46875_-121.53125"
"53057","48.46875_-121.46875"
"53057","48.46875_-121.40625"
"53057","48.46875_-121.34375"
"53057","48.46875_-121.28125"
"53057","48.46875_-121.21875"
"53057","48.46875_-121.15625"
"53057","48.46875_-121.09375"
"53055","48.53125_-123.15625"
"53055","48.53125_-123.09375"
"53055","48.53125_-123.03125"
"53055","48.53125_-122.90625"
"53057","48.53125_-122.59375"
"53057","48.53125_-122.46875"
"53057","48.53125_-122.40625"
"53057","48.53125_-122.34375"
"53057","48.53125_-122.28125"
"53057","48.53125_-122.21875"
"53057","48.53125_-122.15625"
"53057","48.53125_-122.09375"
"53057","48.53125_-122.03125"
"53057","48.53125_-121.96875"
"53057","48.53125_-121.90625"
"53057","48.53125_-121.84375"
"53057","48.53125_-121.78125"
"53057","48.53125_-121.71875"
"53057","48.53125_-121.65625"
"53057","48.53125_-121.59375"
"53057","48.53125_-121.53125"
"53057","48.53125_-121.46875"
"53057","48.53125_-121.40625"
"53057","48.53125_-121.34375"
"53057","48.53125_-121.28125"
"53057","48.53125_-121.21875"
"53057","48.53125_-121.15625"
"53057","48.53125_-121.09375"
"53057","48.53125_-121.03125"
"53057","48.53125_-120.96875"
"53057","48.53125_-120.90625"
"53057","48.53125_-120.78125"
"53057","48.53125_-120.71875"
"53055","48.59375_-123.15625"
"53055","48.59375_-123.09375"
"53055","48.59375_-122.96875"
"53055","48.59375_-122.90625"
"53057","48.59375_-122.40625"
"53057","48.59375_-122.34375"
"53057","48.59375_-122.28125"
"53057","48.59375_-122.21875"
"53057","48.59375_-122.15625"
"53057","48.59375_-122.09375"
"53057","48.59375_-122.03125"
"53057","48.59375_-121.96875"
"53057","48.59375_-121.90625"
"53057","48.59375_-121.84375"
"53057","48.59375_-121.78125"
"53057","48.59375_-121.71875"
"53057","48.59375_-121.65625"
"53057","48.59375_-121.59375"
"53057","48.59375_-121.53125"
"53057","48.59375_-121.46875"
"53057","48.59375_-121.40625"
"53057","48.59375_-121.34375"
"53057","48.59375_-121.28125"
"53057","48.59375_-121.21875"
"53057","48.59375_-121.15625"
"53057","48.59375_-121.09375"
"53057","48.59375_-121.03125"
"53057","48.59375_-120.96875"
"53057","48.59375_-120.90625"
"53057","48.59375_-120.84375"
"53057","48.59375_-120.78125"
"53055","48.65625_-122.96875"
"53055","48.65625_-122.90625"
"53055","48.65625_-122.84375"
"53055","48.65625_-122.78125"
"53057","48.65625_-120.84375"
