"future_fip","model","time_period","emission","top_1_fip","top_2_fip","top_3_fip"
16027,"bcc-csm1-1-m","F1","rcp85",53071,6077,6099
16027,"bcc-csm1-1-m","F2","rcp85",6047,6099,6039
16027,"bcc-csm1-1-m","F3","rcp85",6107,6039,6019
16027,"BNU-ESM","F1","rcp85",6077,6047,6099
16027,"BNU-ESM","F2","rcp85",6107,6019,6039
16027,"BNU-ESM","F3","rcp85",6107,6019,6029
16027,"CanESM2","F1","rcp85",6047,6099,6077
16027,"CanESM2","F2","rcp85",6107,6019,6039
16027,"CanESM2","F3","rcp85",6107,6019,6029
16027,"CNRM-CM5","F1","rcp85",6077,6099,53071
16027,"CNRM-CM5","F2","rcp85",6039,6047,6099
16027,"CNRM-CM5","F3","rcp85",6107,6039,6019
16027,"GFDL-ESM2G","F1","rcp85",6077,6099,53071
16027,"GFDL-ESM2G","F2","rcp85",6047,6099,6039
16027,"GFDL-ESM2G","F3","rcp85",6107,6019,6039
16027,"GFDL-ESM2M","F1","rcp85",53071,53005,6077
16027,"GFDL-ESM2M","F2","rcp85",6047,6099,6077
16027,"GFDL-ESM2M","F3","rcp85",6047,6039,6099
41027,"bcc-csm1-1-m","F1","rcp85",36063,36000,36117
41027,"bcc-csm1-1-m","F2","rcp85",26021,51069,36073
41027,"bcc-csm1-1-m","F3","rcp85",54003,51069,42001
41027,"BNU-ESM","F1","rcp85",36073,36063,36117
41027,"BNU-ESM","F2","rcp85",54003,51069,42001
41027,"BNU-ESM","F3","rcp85",54003,6007,6115
41027,"CanESM2","F1","rcp85",26021,36073,26159
41027,"CanESM2","F2","rcp85",54003,51069,42001
41027,"CanESM2","F3","rcp85",6007,6115,6103
41027,"CNRM-CM5","F1","rcp85",36063,36000,36073
41027,"CNRM-CM5","F2","rcp85",26021,51069,26159
41027,"CNRM-CM5","F3","rcp85",54003,51069,42001
41027,"GFDL-ESM2G","F1","rcp85",36117,36063,36073
41027,"GFDL-ESM2G","F2","rcp85",36073,26021,36117
41027,"GFDL-ESM2G","F3","rcp85",51069,54003,26021
41027,"GFDL-ESM2M","F1","rcp85",36063,36000,26105
41027,"GFDL-ESM2M","F2","rcp85",36117,26159,26081
41027,"GFDL-ESM2M","F3","rcp85",26021,42001,36111
53039,"bcc-csm1-1-m","F1","rcp85",53071,53005,53021
53039,"bcc-csm1-1-m","F2","rcp85",6047,6099,6031
53039,"bcc-csm1-1-m","F3","rcp85",6107,6039,6019
53039,"BNU-ESM","F1","rcp85",6047,6099,6039
53039,"BNU-ESM","F2","rcp85",6107,6019,6039
53039,"BNU-ESM","F3","rcp85",6029,6107,6019
53039,"CanESM2","F1","rcp85",6047,6099,6077
53039,"CanESM2","F2","rcp85",6107,6031,6039
53039,"CanESM2","F3","rcp85",6029,6107,6019
53039,"CNRM-CM5","F1","rcp85",53071,53005,53021
53039,"CNRM-CM5","F2","rcp85",6047,6031,6099
53039,"CNRM-CM5","F3","rcp85",6039,6107,6047
53039,"GFDL-ESM2G","F1","rcp85",53071,53005,53021
53039,"GFDL-ESM2G","F2","rcp85",6099,6047,6077
53039,"GFDL-ESM2G","F3","rcp85",6039,6031,6047
53039,"GFDL-ESM2M","F1","rcp85",53005,53071,53021
53039,"GFDL-ESM2M","F2","rcp85",53071,6099,6047
53039,"GFDL-ESM2M","F3","rcp85",6047,6099,6039
41021,"bcc-csm1-1-m","F1","rcp85",53071,6077,53005
41021,"bcc-csm1-1-m","F2","rcp85",6047,6039,6099
41021,"bcc-csm1-1-m","F3","rcp85",6107,6019,6039
41021,"BNU-ESM","F1","rcp85",6047,6099,6077
41021,"BNU-ESM","F2","rcp85",6107,6019,6039
41021,"BNU-ESM","F3","rcp85",6029,6107,6019
41021,"CanESM2","F1","rcp85",6047,6099,6039
41021,"CanESM2","F2","rcp85",6107,6019,6039
41021,"CanESM2","F3","rcp85",6107,6029,6019
41021,"CNRM-CM5","F1","rcp85",53071,6077,6099
41021,"CNRM-CM5","F2","rcp85",6047,6039,6031
41021,"CNRM-CM5","F3","rcp85",6107,6019,6039
41021,"GFDL-ESM2G","F1","rcp85",6077,6099,6047
41021,"GFDL-ESM2G","F2","rcp85",6047,6099,6077
41021,"GFDL-ESM2G","F3","rcp85",6107,6031,6019
41021,"GFDL-ESM2M","F1","rcp85",53071,53005,53021
41021,"GFDL-ESM2M","F2","rcp85",6099,6047,6077
41021,"GFDL-ESM2M","F3","rcp85",6047,6099,6039
41049,"bcc-csm1-1-m","F1","rcp85",53071,53005,6099
41049,"bcc-csm1-1-m","F2","rcp85",6031,6047,6039
41049,"bcc-csm1-1-m","F3","rcp85",6107,6019,6031
41049,"BNU-ESM","F1","rcp85",6047,6099,6031
41049,"BNU-ESM","F2","rcp85",6107,6019,6029
41049,"BNU-ESM","F3","rcp85",6029,6107,6031
41049,"CanESM2","F1","rcp85",6047,6099,6031
41049,"CanESM2","F2","rcp85",6107,6019,6031
41049,"CanESM2","F3","rcp85",6029,6107,6019
41049,"CNRM-CM5","F1","rcp85",53071,6099,6077
41049,"CNRM-CM5","F2","rcp85",6031,6047,6039
41049,"CNRM-CM5","F3","rcp85",6107,6019,6039
41049,"GFDL-ESM2G","F1","rcp85",6099,6047,6077
41049,"GFDL-ESM2G","F2","rcp85",6047,6099,6031
41049,"GFDL-ESM2G","F3","rcp85",6107,6031,6019
41049,"GFDL-ESM2M","F1","rcp85",53005,53071,53021
41049,"GFDL-ESM2M","F2","rcp85",6047,6099,6039
41049,"GFDL-ESM2M","F3","rcp85",6047,6039,6099
41059,"bcc-csm1-1-m","F1","rcp85",53071,53005,6099
41059,"bcc-csm1-1-m","F2","rcp85",6047,6039,6031
41059,"bcc-csm1-1-m","F3","rcp85",6107,6019,6039
41059,"BNU-ESM","F1","rcp85",6047,6099,6039
41059,"BNU-ESM","F2","rcp85",6107,6019,6039
41059,"BNU-ESM","F3","rcp85",6029,6107,6031
41059,"CanESM2","F1","rcp85",6047,6099,6039
41059,"CanESM2","F2","rcp85",6107,6019,6039
41059,"CanESM2","F3","rcp85",6029,6107,6019
41059,"CNRM-CM5","F1","rcp85",6077,53071,6099
41059,"CNRM-CM5","F2","rcp85",6047,6039,6031
41059,"CNRM-CM5","F3","rcp85",6107,6019,6039
41059,"GFDL-ESM2G","F1","rcp85",6099,6077,6047
41059,"GFDL-ESM2G","F2","rcp85",6047,6099,6039
41059,"GFDL-ESM2G","F3","rcp85",6107,6031,6019
41059,"GFDL-ESM2M","F1","rcp85",53071,53005,53021
41059,"GFDL-ESM2M","F2","rcp85",6047,6099,6077
41059,"GFDL-ESM2M","F3","rcp85",6047,6039,6099
53005,"bcc-csm1-1-m","F1","rcp85",53005,53071,53021
53005,"bcc-csm1-1-m","F2","rcp85",6047,6031,6099
53005,"bcc-csm1-1-m","F3","rcp85",6107,6031,6039
53005,"BNU-ESM","F1","rcp85",6047,6099,6039
53005,"BNU-ESM","F2","rcp85",6107,6019,6039
53005,"BNU-ESM","F3","rcp85",6029,6107,6019
53005,"CanESM2","F1","rcp85",6047,6099,6077
53005,"CanESM2","F2","rcp85",6107,6031,6039
53005,"CanESM2","F3","rcp85",6029,6107,6019
53005,"CNRM-CM5","F1","rcp85",53071,53005,53021
53005,"CNRM-CM5","F2","rcp85",6047,6031,6099
53005,"CNRM-CM5","F3","rcp85",6039,6107,6047
53005,"GFDL-ESM2G","F1","rcp85",53071,53005,53021
53005,"GFDL-ESM2G","F2","rcp85",6047,6099,6077
53005,"GFDL-ESM2G","F3","rcp85",6031,6039,6107
53005,"GFDL-ESM2M","F1","rcp85",53005,53071,53021
53005,"GFDL-ESM2M","F2","rcp85",53071,6099,6047
53005,"GFDL-ESM2M","F3","rcp85",6047,6099,6039
53071,"bcc-csm1-1-m","F1","rcp85",53071,6077,6099
53071,"bcc-csm1-1-m","F2","rcp85",6047,6039,6099
53071,"bcc-csm1-1-m","F3","rcp85",6107,6019,6039
53071,"BNU-ESM","F1","rcp85",6047,6099,6077
53071,"BNU-ESM","F2","rcp85",6107,6039,6019
53071,"BNU-ESM","F3","rcp85",6107,6019,6029
53071,"CanESM2","F1","rcp85",6047,6099,6039
53071,"CanESM2","F2","rcp85",6107,6019,6039
53071,"CanESM2","F3","rcp85",6019,6107,6029
53071,"CNRM-CM5","F1","rcp85",6077,6099,6047
53071,"CNRM-CM5","F2","rcp85",6039,6047,6099
53071,"CNRM-CM5","F3","rcp85",6039,6107,6019
53071,"GFDL-ESM2G","F1","rcp85",6077,6099,53071
53071,"GFDL-ESM2G","F2","rcp85",6047,6099,6077
53071,"GFDL-ESM2G","F3","rcp85",6107,6039,6019
53071,"GFDL-ESM2M","F1","rcp85",53071,53005,53021
53071,"GFDL-ESM2M","F2","rcp85",6099,6077,6047
53071,"GFDL-ESM2M","F3","rcp85",6047,6039,6099
53021,"bcc-csm1-1-m","F1","rcp85",53071,53005,53021
53021,"bcc-csm1-1-m","F2","rcp85",6047,6099,6039
53021,"bcc-csm1-1-m","F3","rcp85",6107,6039,6031
53021,"BNU-ESM","F1","rcp85",6099,6047,6077
53021,"BNU-ESM","F2","rcp85",6107,6019,6039
53021,"BNU-ESM","F3","rcp85",6107,6029,6019
53021,"CanESM2","F1","rcp85",6047,6099,6077
53021,"CanESM2","F2","rcp85",6107,6039,6019
53021,"CanESM2","F3","rcp85",6029,6107,6019
53021,"CNRM-CM5","F1","rcp85",53071,53005,53021
53021,"CNRM-CM5","F2","rcp85",6047,6099,6039
53021,"CNRM-CM5","F3","rcp85",6039,6047,6099
53021,"GFDL-ESM2G","F1","rcp85",53071,53005,53021
53021,"GFDL-ESM2G","F2","rcp85",6099,6047,6077
53021,"GFDL-ESM2G","F3","rcp85",6039,6047,6107
53021,"GFDL-ESM2M","F1","rcp85",53005,53071,53021
53021,"GFDL-ESM2M","F2","rcp85",53071,6099,6047
53021,"GFDL-ESM2M","F3","rcp85",6047,6099,6039
53077,"bcc-csm1-1-m","F1","rcp85",53005,53021,53071
53077,"bcc-csm1-1-m","F2","rcp85",53071,53005,53021
53077,"bcc-csm1-1-m","F3","rcp85",6047,6031,6039
53077,"BNU-ESM","F1","rcp85",53071,53005,53021
53077,"BNU-ESM","F2","rcp85",6039,6047,6107
53077,"BNU-ESM","F3","rcp85",6107,6019,6031
53077,"CanESM2","F1","rcp85",53071,53005,53021
53077,"CanESM2","F2","rcp85",6047,6031,6039
53077,"CanESM2","F3","rcp85",6107,6019,6039
53077,"CNRM-CM5","F1","rcp85",53005,53021,53071
53077,"CNRM-CM5","F2","rcp85",53071,53005,53021
53077,"CNRM-CM5","F3","rcp85",6047,6039,6099
53077,"GFDL-ESM2G","F1","rcp85",53071,53005,53021
53077,"GFDL-ESM2G","F2","rcp85",53071,53005,53021
53077,"GFDL-ESM2G","F3","rcp85",6047,6099,6039
53077,"GFDL-ESM2M","F1","rcp85",53005,53021,53001
53077,"GFDL-ESM2M","F2","rcp85",53071,53005,53021
53077,"GFDL-ESM2M","F3","rcp85",53071,53005,53021
53013,"bcc-csm1-1-m","F1","rcp85",36000,36063,36073
53013,"bcc-csm1-1-m","F2","rcp85",6067,6095,6113
53013,"bcc-csm1-1-m","F3","rcp85",6095,6113,6067
53013,"BNU-ESM","F1","rcp85",36073,36063,36000
53013,"BNU-ESM","F2","rcp85",6007,6115,6095
53013,"BNU-ESM","F3","rcp85",6115,6007,6103
53013,"CanESM2","F1","rcp85",51069,36073,54003
53013,"CanESM2","F2","rcp85",6095,6113,6067
53013,"CanESM2","F3","rcp85",6103,6007,6115
53013,"CNRM-CM5","F1","rcp85",36063,36000,36073
53013,"CNRM-CM5","F2","rcp85",51069,54003,36073
53013,"CNRM-CM5","F3","rcp85",6095,6007,6113
53013,"GFDL-ESM2G","F1","rcp85",36073,36000,36063
53013,"GFDL-ESM2G","F2","rcp85",51069,54003,26021
53013,"GFDL-ESM2G","F3","rcp85",6095,6067,6113
53013,"GFDL-ESM2M","F1","rcp85",36000,36063,36073
53013,"GFDL-ESM2M","F2","rcp85",36073,36063,36000
53013,"GFDL-ESM2M","F3","rcp85",51069,54003,6095
53025,"bcc-csm1-1-m","F1","rcp85",53005,53021,53071
53025,"bcc-csm1-1-m","F2","rcp85",6031,6047,6099
53025,"bcc-csm1-1-m","F3","rcp85",6031,6039,6047
53025,"BNU-ESM","F1","rcp85",53005,53071,6047
53025,"BNU-ESM","F2","rcp85",6107,6031,6019
53025,"BNU-ESM","F3","rcp85",6029,6107,6031
53025,"CanESM2","F1","rcp85",53005,53071,6047
53025,"CanESM2","F2","rcp85",6031,6107,6039
53025,"CanESM2","F3","rcp85",6029,6107,6031
53025,"CNRM-CM5","F1","rcp85",53005,53021,53071
53025,"CNRM-CM5","F2","rcp85",6031,6047,6099
53025,"CNRM-CM5","F3","rcp85",6031,6047,6039
53025,"GFDL-ESM2G","F1","rcp85",53005,53021,53071
53025,"GFDL-ESM2G","F2","rcp85",53005,6047,6099
53025,"GFDL-ESM2G","F3","rcp85",6031,6039,6047
53025,"GFDL-ESM2M","F1","rcp85",53005,53021,53001
53025,"GFDL-ESM2M","F2","rcp85",53005,53071,53021
53025,"GFDL-ESM2M","F3","rcp85",6047,6099,6031
53001,"bcc-csm1-1-m","F1","rcp85",53005,53071,53021
53001,"bcc-csm1-1-m","F2","rcp85",6031,6047,6099
53001,"bcc-csm1-1-m","F3","rcp85",6031,6039,6047
53001,"BNU-ESM","F1","rcp85",53005,53071,6047
53001,"BNU-ESM","F2","rcp85",6107,6019,6039
53001,"BNU-ESM","F3","rcp85",6029,6107,6031
53001,"CanESM2","F1","rcp85",53071,53005,6099
53001,"CanESM2","F2","rcp85",6031,6039,6047
53001,"CanESM2","F3","rcp85",6029,6107,6019
53001,"CNRM-CM5","F1","rcp85",53005,53071,53021
53001,"CNRM-CM5","F2","rcp85",6047,6099,6077
53001,"CNRM-CM5","F3","rcp85",6047,6039,6099
53001,"GFDL-ESM2G","F1","rcp85",53005,53021,53071
53001,"GFDL-ESM2G","F2","rcp85",6077,6099,53005
53001,"GFDL-ESM2G","F3","rcp85",6047,6039,6031
53001,"GFDL-ESM2M","F1","rcp85",53005,53021,53071
53001,"GFDL-ESM2M","F2","rcp85",53071,53005,53021
53001,"GFDL-ESM2M","F3","rcp85",6047,6099,6039
53037,"bcc-csm1-1-m","F1","rcp85",53005,53021,53001
53037,"bcc-csm1-1-m","F2","rcp85",53005,53071,53021
53037,"bcc-csm1-1-m","F3","rcp85",6047,6031,6039
53037,"BNU-ESM","F1","rcp85",53005,53071,53021
53037,"BNU-ESM","F2","rcp85",6047,6039,6099
53037,"BNU-ESM","F3","rcp85",6107,6039,6031
53037,"CanESM2","F1","rcp85",53071,53005,53021
53037,"CanESM2","F2","rcp85",6047,6031,6039
53037,"CanESM2","F3","rcp85",6107,6039,6019
53037,"CNRM-CM5","F1","rcp85",53021,53005,53001
53037,"CNRM-CM5","F2","rcp85",53071,53005,53021
53037,"CNRM-CM5","F3","rcp85",6047,6039,6099
53037,"GFDL-ESM2G","F1","rcp85",53021,53071,53005
53037,"GFDL-ESM2G","F2","rcp85",53071,53005,53021
53037,"GFDL-ESM2G","F3","rcp85",6047,6031,6039
53037,"GFDL-ESM2M","F1","rcp85",53001,53021,53005
53037,"GFDL-ESM2M","F2","rcp85",53071,53021,53005
53037,"GFDL-ESM2M","F3","rcp85",53071,53005,53021
53007,"bcc-csm1-1-m","F1","rcp85",53071,53021,53005
53007,"bcc-csm1-1-m","F2","rcp85",53071,6077,6067
53007,"bcc-csm1-1-m","F3","rcp85",6077,6099,6047
53007,"BNU-ESM","F1","rcp85",53071,53005,53021
53007,"BNU-ESM","F2","rcp85",6047,6099,6077
53007,"BNU-ESM","F3","rcp85",6039,6047,6107
53007,"CanESM2","F1","rcp85",53071,53005,53021
53007,"CanESM2","F2","rcp85",6077,6099,6047
53007,"CanESM2","F3","rcp85",6107,6039,6019
53007,"CNRM-CM5","F1","rcp85",53071,53021,53005
53007,"CNRM-CM5","F2","rcp85",6077,6099,53071
53007,"CNRM-CM5","F3","rcp85",6077,6099,6047
53007,"GFDL-ESM2G","F1","rcp85",53071,53021,6053
53007,"GFDL-ESM2G","F2","rcp85",53071,53005,53021
53007,"GFDL-ESM2G","F3","rcp85",6077,6099,6067
53007,"GFDL-ESM2M","F1","rcp85",53071,53021,53005
53007,"GFDL-ESM2M","F2","rcp85",53071,6053,53021
53007,"GFDL-ESM2M","F3","rcp85",53071,6077,6067
53017,"bcc-csm1-1-m","F1","rcp85",53071,53005,53021
53017,"bcc-csm1-1-m","F2","rcp85",53071,6077,6099
53017,"bcc-csm1-1-m","F3","rcp85",6047,6099,6077
53017,"BNU-ESM","F1","rcp85",53071,53005,53021
53017,"BNU-ESM","F2","rcp85",6047,6039,6099
53017,"BNU-ESM","F3","rcp85",6107,6039,6019
53017,"CanESM2","F1","rcp85",53071,53005,53021
53017,"CanESM2","F2","rcp85",6047,6099,6039
53017,"CanESM2","F3","rcp85",6107,6019,6039
53017,"CNRM-CM5","F1","rcp85",53071,53005,53021
53017,"CNRM-CM5","F2","rcp85",53071,6077,6099
53017,"CNRM-CM5","F3","rcp85",6047,6099,6077
53017,"GFDL-ESM2G","F1","rcp85",53071,53005,53021
53017,"GFDL-ESM2G","F2","rcp85",53071,53005,53021
53017,"GFDL-ESM2G","F3","rcp85",6077,6099,6047
53017,"GFDL-ESM2M","F1","rcp85",53021,53005,53071
53017,"GFDL-ESM2M","F2","rcp85",53071,53005,53021
53017,"GFDL-ESM2M","F3","rcp85",53071,6077,6099
53047,"bcc-csm1-1-m","F1","rcp85",53071,6053,53021
53047,"bcc-csm1-1-m","F2","rcp85",6077,53071,6067
53047,"bcc-csm1-1-m","F3","rcp85",6077,6099,6047
53047,"BNU-ESM","F1","rcp85",53071,6077,6067
53047,"BNU-ESM","F2","rcp85",6047,6099,6039
53047,"BNU-ESM","F3","rcp85",6039,6047,6107
53047,"CanESM2","F1","rcp85",53071,6077,6067
53047,"CanESM2","F2","rcp85",6077,6099,6047
53047,"CanESM2","F3","rcp85",6107,6019,6039
53047,"CNRM-CM5","F1","rcp85",53071,6053,53005
53047,"CNRM-CM5","F2","rcp85",6077,6067,6099
53047,"CNRM-CM5","F3","rcp85",6077,6099,6047
53047,"GFDL-ESM2G","F1","rcp85",53071,6053,53021
53047,"GFDL-ESM2G","F2","rcp85",53071,53005,53021
53047,"GFDL-ESM2G","F3","rcp85",6077,6099,6067
53047,"GFDL-ESM2M","F1","rcp85",53071,53021,6053
53047,"GFDL-ESM2M","F2","rcp85",53071,6053,53021
53047,"GFDL-ESM2M","F3","rcp85",6077,6067,6099
