,stage,gddlow,gddhigh,,,diff,Diff 9%,Diff 10%
1,Egg,0,1083,0,1191.3,1083,97.47,108.3
2,Egg,1083,2163,1180.2,2271,1080,97.2,108
3,Egg,2163,3263,2260.2,3373,1100,99,110
4,Egg,3263,4343,3362,4451,1080,97.2,108
5,Larva,213,1153,213,1247,940,84.6,94
6,Larva,1153,2313,1237.6,2429,1160,104.4,116
7,Larva,2313,3443,2417.4,3556,1130,101.7,113
8,Larva,3443,4453,3544.7,4554,1010,90.9,101
9,Pupa,0,693,0,762.3,693,62.37,69.3
10,Pupa,693,1813,755.37,1925,1120,100.8,112
11,Pupa,1813,2923,1913.8,3034,1110,99.9,111
12,Pupa,2923,4063,3022.9,4177,1140,102.6,114
13,Adult,0,933,0,1026.3,933,83.97,93.3
14,Adult,933,2073,1016.97,2187,1140,102.6,114
15,Adult,2073,3203,2175.6,3316,1130,101.7,113
16,Adult,3203,4343,3304.7,4457,1140,102.6,114