fips,totalAcres15,IrrTotalWith15,totalAcres10,IrrTotalWith10,st_crd
01001,2.26,3.52,1.95,2.94,0140
01003,20.66,58.28,13.04,38.96,0150
01005,4.53,2.96,3.3,2.17,0160
01007,0.16,0.19,0.4,0.69,0130
01009,0.94,1.08,0.97,0.48,0120
01011,1.67,2,0.24,0.61,0140
01013,0.3,0.99,0.44,0.34,0150
01015,1.92,3.15,3.35,4.09,0120
01017,0.18,0.23,0.39,0.2,0130
01019,1.87,2.82,1.45,1.24,0120
01021,0.57,0.49,0.77,1.15,0130
01023,0.07,0.17,0.06,0.03,0150
01025,0.16,0.28,0.16,0.07,0150
01027,0.08,0.12,0.1,0.06,0130
01029,0.31,0.14,0.45,0.16,0120
01031,5.07,3.87,4.86,3.67,0160
01033,4.17,2.43,3.2,2.19,0110
01035,0.16,0.21,0.19,0.09,0150
01037,0.06,0.1,0.08,0.03,0130
01039,2.21,3.46,1.88,1.96,0160
01041,0.96,0.58,0.68,0.25,0160
01043,0.73,0.91,1.53,2.25,0120
01045,2.84,2.08,3.02,2.16,0160
01047,3.17,3.2,3.51,2.42,0140
01049,1.03,2.64,1.37,0.58,0120
01051,3.83,3.08,2.62,1.56,0140
01053,1.96,1.74,2.47,3.02,0150
01055,0.65,1,1.32,0.67,0120
01057,0.45,0.37,0.76,0.17,0130
01059,1.23,0.84,0.34,0.15,0110
01061,8.86,5.47,3.66,3.66,0160
01063,0.44,0.45,0.34,0.12,0140
01065,1.96,1.07,0.19,0.09,0140
01067,8.58,5.87,5.58,3.6,0160
01069,13.19,7.55,15.07,10.07,0160
01071,0.96,1.28,1.35,1.14,0120
01073,3.15,5.88,3.62,2.48,0130
01075,0.8,0.24,0.18,0.09,0130
01077,1.04,1.8,2.45,3.78,0110
01079,4.88,2.58,4.77,3.87,0110
01081,2.09,3.17,1.7,1.07,0130
01083,15.88,9.75,9.33,7.6,0110
01085,5.1,5.73,3.04,2.2,0140
01087,3.66,5.92,2.73,2.15,0140
01089,11.61,9.15,9.06,8.41,0110
01091,0.56,0.43,0.27,0.15,0140
01093,0.39,0.27,0.39,0.17,0110
01095,1.13,2.07,2.41,1.89,0120
01097,5.51,10.91,5.9,10.68,0150
01099,1.05,0.57,0.94,0.55,0150
01101,3.47,6.27,1.87,1.49,0140
01103,0.86,1.04,1.04,1.05,0110
01105,1.23,0.63,0.17,0.06,0140
01107,4.24,1.95,0.97,1.41,0130
01109,3.36,1.46,2.85,1.86,0160
01111,0.14,0.14,0.28,0.1,0130
01113,4.78,7.45,2.04,2.42,0160
01115,0.75,1.72,2.27,2.1,0120
01117,2.45,5.17,3.22,3.23,0130
01119,1.59,0.76,0.57,0.22,0140
01121,6.09,4.78,3.72,1.69,0130
01123,1.44,0.91,0.35,0.36,0130
01125,2.93,5.66,2.68,3.52,0130
01127,0.44,0.72,1.14,1.01,0130
01129,0.15,0.23,0.16,0.11,0150
01131,0.29,0.45,0.2,0.07,0150
01133,0.14,0.18,0.14,0.07,0110
02013,0,0,0,0,0250
02020,0.66,0.41,0.66,0.53,0220
02050,0,0,0,0,0250
02060,0,0,0,0,0250
02070,0,0,0,0,0250
02090,0.53,0.24,0.5,0.2,0210
02100,0,0,0,0,0240
02110,0.02,0.01,0,0,0240
02122,0.11,0.06,0.24,0.13,0230
02130,0,0,0,0,0240
02150,0,0,0,0,0250
02170,1.13,0.54,1.13,0.53,0220
02180,0,0,0,0,0250
02185,0,0,0,0,0250
02188,0,0,0,0,0250
02201,NA,NA,NA,NA,0240
02220,0,0,0,0,0240
02240,0.53,0.23,0.5,0.15,0210
02261,0,0,0,0,0220
02270,NA,NA,0,0,0250
02280,NA,NA,NA,NA,0240
02290,0,0,0,0,0210
04001,0.98,1.95,2.7,7.6,0410
04003,106.84,217.57,79.64,214.71,0480
04005,0.9,0.28,0.8,0.28,0410
04007,0.93,3.05,0.83,2.64,0410
04009,36.69,183.54,38,166.56,0480
04011,2.7,9.4,4.08,14.76,0480
04012,99.78,612.86,100.58,664.34,0480
04013,244.22,1232.8,205.9,1093.37,0480
04015,23.52,111.85,15.38,73.02,0410
04017,2.94,10.41,6.16,16.01,0410
04019,25.1,92.26,25.1,100.88,0480
04021,238.41,935.11,257.98,1053.16,0480
04023,2.32,6.97,2.28,10.4,0480
04025,6.59,31.14,6.44,29.74,0410
04027,247.3,1079.69,247.29,1121.9,0480
05001,399.2,1675.81,420.82,934.23,0560
05003,97.58,159.83,98.25,133.66,0590
05005,0,0,0,0,0520
05007,0,0,0,0,0510
05009,0,0,0,0,0510
05011,0,0,0,0,0580
05013,0,0,0.06,0,0580
05015,0,0,0.09,0.16,0510
05017,205.48,271.76,163.85,223.75,0590
05019,1.81,5.37,3.4,8.79,0580
05021,187.02,830.1,173.13,404.77,0530
05023,0,0,0.05,0.13,0520
05025,0,0,0,0,0580
05027,0,0,0,0,0580
05029,2.09,4.05,5.55,5.89,0550
05031,261.18,496.13,261.52,406.58,0530
05033,1.9,2.49,2.19,1.29,0540
05035,160.19,256.13,154.88,211.82,0560
05037,210.93,593.44,251.96,558.61,0560
05039,0,0,0,0,0580
05041,236.94,628.49,217.92,453.44,0590
05043,29.49,50.16,43.44,33.54,0590
05045,2.82,5.49,0.95,1.63,0550
05047,0.07,0.01,0.2,0.06,0540
05049,0.09,0.24,0,0,0520
05051,0,0,0,0,0550
05053,0,0,1.13,3.16,0550
05055,140.22,356.35,150.84,349.63,0530
05057,0,0,0,0,0570
05059,1.64,2.12,2.92,7.98,0550
05061,0,0,0,0,0570
05063,50.88,95.29,33.09,80.35,0530
05065,0,0,0,0,0520
05067,198.19,595.19,214.95,437.67,0530
05069,151.18,359.94,187.96,281.4,0590
05071,0.08,0.01,0.81,0,0540
05073,9.06,13.6,14.61,19.85,0570
05075,133.49,255.63,109.18,196.97,0530
05077,167.84,334.3,168.75,301.39,0560
05079,117.91,265.07,112.83,221.17,0590
05081,10.12,33.39,6.6,9.2,0570
05083,0,0,0.43,0.26,0540
05085,249.41,901.81,221.7,439.06,0560
05087,0,0,0.22,0,0510
05089,0,0,0,0,0520
05091,0.12,0.23,8.57,14.09,0570
05093,25.65,35.25,281.32,365.81,0530
05095,145.61,310.99,168.44,282.31,0560
05097,0,0,0.01,0,0570
05099,0,0,0,0,0580
05101,0,0,0,0,0510
05103,0,0,0,0,0580
05105,0.76,1.46,0.19,0.44,0550
05107,217.76,260.19,194.76,263.04,0560
05109,0,0,0,0,0570
05111,323.51,966.93,330.75,931.39,0530
05113,0.11,0.36,0.36,0.45,0540
05115,0.37,0.53,1.16,1.31,0540
05117,192.74,541.03,191.8,304,0560
05119,27.04,52.03,23.89,30.6,0550
05121,62.34,185.14,65.9,154.04,0530
05123,191.06,363.99,183.74,357.09,0560
05125,0.21,2.25,0.24,0.35,0550
05127,1.3,0.05,0.16,0.14,0540
05129,0,0,0,0,0520
05131,0.12,0.3,0.12,0.19,0540
05133,0.01,0.01,0.01,0.01,0570
05135,0,0,0.04,0,0520
05137,0.03,0.04,0.06,0.07,0520
05139,0,0,0,0,0580
05141,0,0,0,0,0520
05143,0.09,0.03,0.12,0.15,0510
05145,41.52,141.22,30.17,57.24,0530
05147,170.9,512.14,166,230.57,0560
05149,0,0,0,0,0540
06001,12.66,9.51,11.5,18.27,0640
06003,3.74,9.69,1.62,4.22,0660
06005,9.01,20.75,0.2,17.03,0660
06007,224.47,752.68,221.86,646.14,0650
06009,3.67,8.8,4.85,12.37,0660
06011,309.73,695.25,300.82,828.99,0650
06013,42.42,87.09,38.27,67.05,0640
06015,9.36,16.42,7.7,9.67,0610
06017,7.22,26.78,6.79,10.19,0660
06019,1116.48,1616.63,1093.78,2492.77,0651
06021,234.28,660.65,225.2,598.86,0650
06023,45.69,59.97,27.32,38.57,0610
06025,508.48,1850.34,558.17,1088.52,0680
06027,17.73,17.5,22.41,82.07,0660
06029,815.09,1617.68,737.79,1810.14,0651
06031,457.36,637.42,558.95,1251.44,0651
06033,28.79,52.79,17.04,32.68,0640
06035,100.91,88.68,94.7,175.92,0630
06037,29.47,34.6,34.86,91.33,0680
06039,303.97,772.43,297.84,711.98,0651
06041,9.87,41.02,0.69,9.04,0640
06043,3.68,17.45,0.75,2.43,0660
06045,27.78,68.7,40.19,65.58,0610
06047,553.53,970.62,613.34,1374.27,0651
06049,171.89,171.49,139.19,252.93,0630
06051,37.87,58.53,71.46,214.45,0660
06053,264.49,168.86,427.42,479.45,0640
06055,50.79,102.7,44.98,68.69,0640
06057,12.41,48.44,11.18,29.48,0660
06059,12.52,11.89,8.3,18.4,0680
06061,44.61,133.48,44.82,119.46,0660
06063,42.68,102.78,46.05,111.43,0630
06065,222.69,741.79,230.41,486.71,0680
06067,161.34,442.06,151.3,306.57,0650
06069,48.74,15.12,53.21,72.69,0640
06071,21.02,33.33,34.93,92.79,0680
06073,75.22,118.28,73.5,170.91,0680
06075,0.64,0.58,0.54,0.74,0640
06077,553.09,1190.25,740.77,1584.82,0651
06079,103.66,78.97,115.66,166.52,0640
06081,5.84,23.08,6.26,8.05,0640
06083,115.12,55.95,130.3,176.86,0680
06085,16.75,8.1,27.36,35.91,0640
06087,22.71,31.34,19.62,33.21,0640
06089,61.01,160.97,67.48,143.48,0620
06091,19.25,23.36,15.16,37.79,0660
06093,178.21,201.48,189.62,388.26,0620
06095,172.99,395.52,185.32,381.88,0650
06097,93.55,210.34,93.1,148.82,0640
06099,392.5,1034.16,659.31,1499.94,0651
06101,267.22,636.09,248.06,694.19,0650
06103,95.78,269.33,86.6,219.6,0650
06105,2.98,10.72,2.44,4.49,0620
06107,685.09,1395.96,974.67,2458.93,0651
06109,1.7,3.15,2.39,5.37,0660
06111,111.4,85.11,110.1,226.09,0680
06113,294.83,571.68,346.74,737.46,0650
06115,87.68,314.62,76.44,240.59,0650
08001,19.28,87.03,30.59,145.47,0860
08003,107.66,136.61,117.51,149.39,0880
08005,4.08,3.56,5.06,16.7,0860
08007,20.77,41.95,21.82,56.02,0870
08009,72.77,125.24,86.52,96.81,0890
08011,46.64,167.81,65.31,149.65,0890
08013,29.59,103.76,48.2,145.48,0820
08014,0.84,1.38,1.59,1.39,0820
08015,15.25,115.24,11.43,80.56,0810
08017,25.92,29.35,25.19,32.67,0860
08019,0,0,0.02,0.17,0810
08021,118.45,293.97,122.48,366.53,0880
08023,44.77,92.85,49.02,135.15,0880
08025,7.16,11.87,17,11.87,0890
08027,25.58,34.78,21.14,26.75,0890
08029,77.41,341.47,82.91,346.17,0870
08031,2.4,1.53,1.02,1.01,0860
08033,8.14,4.16,8.56,5.1,0870
08035,2.72,11.74,4.08,15.67,0860
08037,20.9,132.14,18.53,126.58,0810
08039,6.48,15.14,8.57,10.76,0860
08041,12.05,8.58,7.2,31.26,0860
08043,13.51,95.48,15.61,116.89,0890
08045,56.22,234.45,44.47,242.16,0870
08047,0,0,0,0,0810
08049,44.11,183.29,41.3,183.87,0810
08051,57.95,520.53,56.79,553.3,0810
08053,5.88,20.45,6.1,26.97,0870
08055,12.74,38.07,16.44,35.23,0890
08057,90.39,340.4,112.27,347.13,0810
08059,3.31,22.27,5.21,14.97,0820
08061,4.85,1.71,4.68,4.9,0860
08063,133.69,110.88,157.72,126.5,0860
08065,2.16,14.01,1.47,11.47,0810
08067,75.51,322.14,72.5,321.15,0870
08069,54.14,119.13,85.75,363.91,0820
08071,21.2,21.09,21.18,66.9,0890
08073,7.03,4.54,4.72,3.45,0860
08075,102.53,143.12,112.38,157.76,0820
08077,87.25,756.96,82.26,742.36,0870
08079,1.46,7.02,1.53,15.61,0880
08081,30.16,121.18,26.89,151.54,0810
08083,73.25,185.09,71.25,245.42,0870
08085,97.48,671.64,97.77,690.28,0870
08087,109.7,122.61,137.2,165.22,0820
08089,57.38,349.07,64.51,431.43,0890
08091,14.77,94.26,16.04,103.6,0870
08093,0.89,33.64,5.74,22.16,0810
08095,68.13,73.62,66.69,57.39,0860
08097,11.15,117.31,9.72,116.37,0810
08099,111.6,110.39,128.09,143.8,0890
08101,31.95,265.53,27.13,154.15,0890
08103,32.48,135.75,30.83,246.94,0810
08105,112.21,557.03,114.81,577.23,0880
08107,52.34,171.63,49.23,191.65,0810
08109,138.64,366.3,124.87,269.47,0880
08111,0,0,0,0,0870
08113,23.22,47.09,20.7,36.79,0870
08115,43.45,73.59,48.03,60.65,0820
08117,5.82,50.12,5.22,60.63,0810
08119,1.08,2.48,0.45,4.1,0810
08121,37.99,46.18,46.53,70.66,0860
08123,294.88,366.35,392.3,417.44,0820
08125,245.57,323.08,259.46,212.1,0860
09001,2.65,2.01,4.41,4.04,0910
09003,7.09,4.09,10.26,9.19,0910
09005,1.32,0.72,1.48,1.43,0910
09007,1.2,0.79,1.26,1.13,0910
09009,2.74,1.47,4.95,4.9,0910
09011,1.63,1.17,1.69,1.52,0910
09013,0.8,0.5,1.13,1.1,0910
09015,0.82,0.56,0.64,0.65,0910
10001,37.04,28.03,36.5,27.22,1050
10003,3.94,2.18,4.26,3.7,1020
10005,87.29,82.7,92.25,70.41,1080
12001,12.85,15.3,12.83,21.07,1250
12003,0.2,0.35,0.32,0.77,1230
12005,2.32,3.08,2.63,3.32,1210
12007,1.42,1.43,0.37,0.59,1250
12009,28.15,38.27,22.65,75.9,1280
12011,27.4,47.81,28.4,41.14,1280
12013,3.06,2.85,2.76,2.15,1210
12015,47.52,14.22,44.55,50.13,1280
12017,4.59,4.97,4.72,6.72,1250
12019,1.82,1.56,2.37,8.07,1250
12021,108.33,142.42,102.49,198.07,1280
12023,2.67,2.13,2.87,5.62,1230
12027,110.07,41.39,112.03,71.24,1280
12029,5.68,4.09,2.21,2.8,1230
12031,4.24,8.57,3.22,9.44,1230
12033,3.83,3.04,5.9,6.37,1210
12035,14,13.57,6.53,12.63,1250
12037,0.25,0.16,0.15,0.3,1210
12039,4.47,6.68,4.96,11.95,1210
12041,14.15,12.02,6.11,6.56,1250
12043,20.17,121.06,18.28,152.7,1280
12045,0.1,0.11,0.09,0.11,1210
12047,14.87,18.25,8.47,9.97,1230
12049,83.55,32.6,76.88,46.22,1280
12051,88.61,379.14,80.61,417.32,1280
12053,5.14,3.99,5.87,7.48,1250
12055,85.23,83.45,79.8,96.45,1280
12057,61.66,48.44,64.09,69.8,1250
12059,0.68,0.6,2.37,1.71,1210
12061,60.15,57.77,56.69,126.92,1280
12063,30.93,24.52,27.99,15.48,1210
12065,3.44,4.58,2.22,5.45,1210
12067,8.11,7.1,5.04,4.31,1230
12069,23.97,41.37,21.2,51.21,1250
12071,56.29,61.32,55.1,107.72,1280
12073,1.23,2.05,1.12,1.8,1210
12075,10.67,15.53,22.03,28.52,1250
12077,0.04,0.06,0,0,1210
12079,16.66,13.57,9.26,10.38,1230
12081,110.07,54.85,116.24,84.89,1280
12083,27,15.7,18.83,21.27,1250
12085,24.96,108.99,35.45,53.68,1280
12086,50.87,40.01,50.81,79.28,1280
12087,0.23,1.07,0.27,1,1280
12089,8.5,3.54,1.25,4.43,1230
12091,1.76,3.03,2.2,3.81,1210
12093,32.49,11.5,37.98,54.99,1280
12095,19.01,18.45,17.42,32.1,1250
12097,29.7,18.49,31.92,56.72,1250
12099,457.65,598.52,457.1,458.19,1280
12101,17.52,8.95,20.65,17.05,1250
12103,3.31,2.15,3.74,3.02,1250
12105,93.89,91.1,120.11,121.26,1250
12107,12.05,22.36,10.5,22.1,1250
12109,25.98,43.09,22.65,26.85,1250
12111,48.6,43.76,60.52,69.23,1280
12113,1.27,1.38,4.64,8.39,1210
12115,32.92,10.27,33.27,10.26,1280
12117,4.88,4.69,4.38,12.46,1250
12119,11.16,7.25,10.63,10.13,1250
12121,26,28.09,16.55,22.9,1230
12123,0.22,0.08,0.12,0.41,1230
12125,0.8,1.14,0.95,0.96,1250
12127,13.78,24.21,3.95,52.02,1250
12129,0.17,0.32,0.15,0.4,1210
12131,1.09,3.97,2.45,2.58,1210
12133,0.78,0.91,1.41,1.07,1210
13001,10.31,4.19,8.25,1.91,1390
13003,10.31,1.7,7.65,0.45,1380
13005,8.49,4.07,7.13,0.81,1390
13007,40.34,23.55,43.65,35.44,1370
13009,0.05,0.05,0.05,0.08,1350
13011,0.12,0.13,0.01,0,1330
13013,0.48,0.51,0.48,0.79,1320
13015,2.28,2.05,2.28,2.72,1310
13017,8.32,3.27,8.48,2.37,1380
13019,19.36,5.44,16.56,3.11,1380
13021,0.35,1.08,0.35,0.65,1350
13023,14.7,6.04,13.71,7.16,1350
13025,1,0.04,0.73,0.3,1390
13027,24.65,9.64,22.73,6.58,1380
13029,0.17,0.17,0.12,0.07,1390
13031,17.85,4.93,16.2,2.22,1360
13033,32.97,17.9,24.76,6.5,1360
13035,0.11,0.25,0.11,0.19,1350
13037,27.51,16.79,30.03,26.85,1370
13039,0.44,0.39,0.7,0.76,1390
13043,6.66,2.03,6.14,1.27,1360
13045,0.29,0.3,0.62,0.69,1340
13047,0.62,0.7,0.62,1.01,1310
13049,0,0,0,0,1390
13051,0.69,0.71,1.56,1.22,1390
13053,0,0,0,0,1340
13055,0,0,0,0,1310
13057,1.41,2.19,1.38,2.4,1320
13059,0.63,1.42,0.63,1.23,1320
13061,7.28,3.83,7.56,4.35,1370
13063,0.1,0.1,0.1,0.16,1340
13065,3.85,0.43,3.28,2.62,1380
13067,1.19,1.37,1.13,1.97,1320
13069,27.44,8.98,25.52,3.75,1380
13071,47.46,20.22,48.01,17.02,1380
13073,0.69,0.71,0.6,1.06,1360
13075,16.48,7.9,16.06,5.92,1380
13077,1.22,1.35,1.2,1.72,1340
13079,2.91,1.26,4.38,1.85,1350
13081,28.66,14.59,30.26,16.34,1380
13083,0,0,0,0,1310
13085,0.12,0.13,0.3,0.32,1320
13087,69.63,56.17,71.35,69.58,1370
13089,1.41,1.48,1.42,2.32,1320
13091,17.55,6.8,16.18,10.48,1350
13093,45.86,13.79,44.8,26.11,1380
13095,20.93,14.54,19.48,17,1370
13097,0.37,0.38,0.36,0.6,1340
13099,46.28,21.56,51.22,35.02,1370
13101,2.93,1.5,2.91,1.17,1380
13103,2.6,1.08,1.18,0.23,1360
13105,0.4,0.88,0.57,0.48,1330
13107,5.73,2.07,4.64,2.74,1360
13109,6.79,2.73,7.84,2.25,1390
13111,0.2,0.02,0.2,0.02,1320
13113,0.73,0.66,0.64,0.87,1340
13115,2.37,1.59,2.27,2,1310
13117,0.28,0.44,0.43,0.58,1320
13119,0.37,0.97,0.37,0.42,1330
13121,2.18,2.51,3.61,3.73,1320
13123,0.2,0.21,0.32,0.33,1320
13125,0.2,0,0.09,0.04,1360
13127,2.09,2.24,2.04,3.46,1390
13129,1.81,1.17,1.97,1.46,1310
13131,17.08,5.53,17.31,6.16,1370
13133,0.91,1.14,1.06,1.91,1350
13135,1.3,1.34,1.13,1.87,1320
13137,0.27,0.22,0.47,0.58,1330
13139,0.84,0.68,1.11,1.37,1320
13141,0.31,0.56,0.31,0.65,1350
13143,0.14,0.14,0.14,0.22,1340
13145,0.03,0.03,20.03,0.2,1340
13147,1.07,0.92,0.99,1.12,1330
13149,0,0,0,0,1340
13151,1.82,1.55,1.64,2.41,1340
13153,14.18,6.03,11.35,6.71,1350
13155,36.67,15.78,34.24,7.73,1380
13157,0.3,0.29,0.31,0.43,1320
13159,0.18,0.37,0.17,0.46,1350
13161,11.03,2.33,10.67,2.51,1380
13163,25.38,15.87,21.12,7.09,1360
13165,11.86,6.85,8.96,1.78,1360
13167,3.18,0.98,2,0.79,1350
13169,0.15,0.16,0.23,0.27,1350
13171,0.57,1.1,0.67,1.35,1340
13173,5.25,1.38,6.42,0.91,1380
13175,10.11,3.89,8.44,5.52,1350
13177,42.83,27.26,46.62,40.15,1370
13179,0,0,0.03,0.02,1390
13181,0,0,0,0,1330
13183,0.89,0.05,0.96,0.46,1390
13185,8.32,2.03,6.62,1.59,1380
13187,0.2,0.21,0.21,0.28,1320
13189,0.72,0.43,1.06,4.09,1360
13191,0.15,0.16,0.15,0.25,1390
13193,25.53,11.98,30.63,18.59,1340
13195,0.18,0.19,0.18,0.3,1330
13197,4.43,0.85,5.99,1.48,1340
13199,0.3,0.18,0.3,0.21,1340
13201,56.82,35.22,60.44,45.99,1370
13205,88.03,52.04,85.53,60.79,1370
13207,0.43,0.43,0.48,0.64,1350
13209,3.28,1.01,2.27,0.8,1350
13211,1.67,1.5,1.39,1.99,1350
13213,0.3,0.19,0.26,0.23,1310
13215,0.4,0.41,0.51,0.87,1340
13217,0.69,0.53,0.7,0.82,1350
13219,1.49,3.44,1.51,4.02,1320
13221,0.34,0.27,0.39,0.31,1330
13223,0.46,0.59,0.45,0.85,1310
13225,11.4,4.27,9.56,6.96,1350
13227,0.09,0.09,0.06,0.11,1320
13229,12.69,3.78,12.07,2.28,1390
13231,1.52,1.15,1.49,1.39,1340
13233,0.15,0.16,0.15,0.26,1310
13235,24.37,10.34,21.58,15.89,1350
13237,0.49,0.35,0.53,0.47,1350
13239,0.24,0.05,0.5,0.25,1370
13241,0.28,0.26,0.37,0.42,1330
13243,28,17.81,29.71,24.18,1370
13245,1.15,0.59,0.58,0.9,1360
13247,0.55,0.58,0.43,0.71,1350
13249,1.41,0.15,1.83,0.4,1340
13251,24.65,13.01,23.46,3.57,1360
13253,52.94,44.26,51.95,44.58,1370
13255,0.45,0.28,0.28,0.42,1340
13257,0.3,0.31,1.4,2.29,1330
13259,3.42,0.71,4.78,0.96,1370
13261,44.4,20.57,49.39,36.1,1370
13263,0,0,0.02,0.01,1340
13265,0,0,0,0,1350
13267,18.19,6.96,19.42,4.81,1390
